id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
196,Der Alligator,der (maskulin),Alligator,The Alligator,Animals,Der Alligator lebt im Sumpf.,The alligator lives in the swamp.,Alligatoren,Alligatorin
197,Der Bär,der (maskulin),Bär,The Bear,Animals,Im Wald lebt ein großer Bär.,A big bear lives in the forest.,Bären,Bärin
198,Der Biber,der (maskulin),Biber,The Beaver,Animals,Der Biber baut einen Damm.,The beaver builds a dam.,Biber,Biberin
199,Der Biß,der (maskulin),Biß,The Bite,Animals,Der Biss des Hundes war schmerzhaft.,The dog's bite was painful.,Bisse,—
200,Der Büffel,der (maskulin),Büffel,The Buffalo,Animals,Die Herde Büffel zog über die Prärie.,The herd of buffalo roamed the prairie.,Büffel,Büffelinn
201,Der Dachs,der (maskulin),Dachs,Badger,Animals,Der Dachs gräbt ein Loch.,The badger digs a hole.,Dächer,—
202,Der Delfin,der (maskulin),Delfin,The Dolphin,Animals,Der Delfin springt aus dem Wasser.,The dolphin jumps out of the water.,Delfine,Delfin
203,Der Eisbär,der (maskulin),Eisbär,Polar Bear,Animals,Der Eisbär lebt im Eis.,The polar bear lives in the ice.,Eisbären,—
204,Der Elefant,der (maskulin),Elefant,The Elephant,Animals,Der Elefant hat einen langen Rüssel.,The elephant has a long trunk.,Elefanten,Elefantin
205,Der Esel,der (maskulin),Esel,Donkey,Animals,Der Esel ist stur.,The donkey is stubborn.,Esel,Eselin
206,Der Falke,der (maskulin),Falke,The Falcon,Animals,Der Falke stürzt sich auf seine Beute.,The falcon dives on its prey.,Falken,Falkin
207,Der Falter,der (maskulin),Falter,The Butterfly,Animals,Ein bunter Falter fliegt vorbei.,A colorful moth flies by.,Falter,—
208,Der Flecken,der (maskulin),Flecken,The Stains,Animals,Der Leopard hat viele Flecken.,The leopard has many spots.,Flecken,—
209,Der Floh,der (maskulin),Floh,The Flea,Animals,Der Hund hat einen Floh.,The dog has a flea.,Flöhe,—
210,Der Frosch,der (maskulin),Frosch,Frog,Animals,Der Frosch springt.,The frog jumps.,Frösche,—
211,Der Fuchs,der (maskulin),Fuchs,The Fox,Animals,Der Fuchs ist schlau.,The fox is clever.,Füchse,Füchsin
212,Der Geier,der (maskulin),Geier,The Vulture,Animals,Der Geier kreist am Himmel.,The vulture circles in the sky.,Geier,—
213,Der Gorilla,der (maskulin),Gorilla,The Gorilla,Animals,Der Gorilla ist sehr stark.,The gorilla is very strong.,Gorillas,—
214,Der Habicht,der (maskulin),Habicht,The Hawk,Animals,Der Habicht jagt kleine Vögel.,The hawk hunts small birds.,Habichte,—
215,Der Hahn,der (maskulin),Hahn,Cock,Animals,Der Hahn kräht am Morgen.,The rooster crows in the morning.,Hähne,—
216,Der Hai,der (maskulin),Hai,The Shark,Animals,Der Hai schwimmt im Meer.,The shark swims in the sea.,Haie,—
217,Der Hamster,der (maskulin),Hamster,Hamster,Animals,Der Hamster läuft im Rad.,The hamster runs in the wheel.,Hamster,—
218,Der Hase,der (maskulin),Hase,Hare,Animals,Der Hase läuft schnell.,The hare runs fast.,Hasen,—
219,Der Hirsch,der (maskulin),Hirsch,Deer,Animals,Der Hirsch steht im Wald.,The deer is standing in the forest.,Hirsche,—
220,Der Hund,der (maskulin),Hund,The Dog,Animals,Der Hund bellt laut.,The dog barks loudly.,Hunde,—
221,Der Igel,der (maskulin),Igel,The Hedgehog,Animals,Der Igel rollt sich zusammen.,The hedgehog curls up.,Igel,—
222,Der Käfer,der (maskulin),Käfer,Beetle,Animals,Der Käfer krabbelt.,The beetle is crawling.,Käfer,—
223,Der Käfig,der (maskulin),Käfig,The Cage,Animals,Der Vogel sitzt im Käfig.,The bird sits in the cage.,Käfige,—
224,Der Kanarienvogel,der (maskulin),Kanarienvogel,The Canary,Animals,Der Kanarienvogel singt wunderschön.,The canary sings beautifully.,Kanarienvögel,—
225,Der Koala,der (maskulin),Koala,The Koala,Animals,Der Koala frisst Eukalyptusblätter.,The koala eats eucalyptus leaves.,Koalas,—
226,Der Krebs,der (maskulin),Krebs,Crab,Animals,Der Krebs hat Scheren.,The crab has claws.,—,—
227,Der Kuckuck,der (maskulin),Kuckuck,The Cuckoo,Animals,Der Kuckuck ruft im Wald.,The cuckoo calls in the forest.,Kuckucke,—
228,Der Löwe,der (maskulin),Löwe,The Lion,Animals,Der Löwe ist der König der Tiere.,The lion is the king of animals.,Löwen,Löwin
229,Der Luchs,der (maskulin),Luchs,The Lynx,Animals,Der Luchs hat Pinselohren.,The lynx has tufted ears.,Luchse,—
230,Der Moskito,der (maskulin),Moskito,The Mosquito,Animals,Der Moskito hat mich gestochen.,The mosquito bit me.,Moskitos,—
231,Der Ochse,der (maskulin),Ochse,The Ox,Animals,Der Ochse zieht den Pflug.,The ox pulls the plow.,Ochsen,Ochsin
232,Der Otter,der (maskulin),Otter,The Otter,Animals,Der Otter schwimmt im Fluss.,The otter swims in the river.,Otter,—
233,Der Panther,der (maskulin),Panther,The Panther,Animals,Der Panther ist ein eleganter Jäger.,The panther is an elegant hunter.,Panther,—
234,Der Panzer,der (maskulin),Panzer,The Tank,Animals,Die Schildkröte zieht sich in ihren Panzer zurück.,The turtle retreats into its shell.,Panzer,—
235,Der Papagei,der (maskulin),Papagei,Parrot,Animals,Der Papagei kann sprechen.,The parrot can speak.,Papageien,—
236,Der Pfau,der (maskulin),Pfau,The Peacock,Animals,Der Pfau schlägt ein Rad mit seinen Federn.,The peacock displays its feathers.,Pfauen,Pfauin
237,Der Pinguin,der (maskulin),Pinguin,The Penguin,Animals,Der Pinguin kann nicht fliegen.,The penguin cannot fly.,Pinguine,—
238,Der Schmetterling,der (maskulin),Schmetterling,The Butterfly,Animals,Der Schmetterling fliegt von Blume zu Blume.,The butterfly flies from flower to flower.,Schmetterlinge,—
239,Der Schwan,der (maskulin),Schwan,Swan,Animals,Der Schwan ist weiß.,The swan is white.,Schwäne,—
240,Der Schwanz,der (maskulin),Schwanz,The Tail,Animals,Der Hund wedelt mit dem Schwanz.,The dog wags its tail.,Schwänze,—
241,Der Seehund,der (maskulin),Seehund,Seal,Animals,Der Seehund liegt auf der Sandbank und fläzt sich in der Sonne,The seal lies on the sandbank and lounges in the sun,Seehunde,—
242,Der Seelöwe,der (maskulin),Seelöwe,The Sea Lion,Animals,Der Seelöwe jongliert mit einem Ball.,The sea lion juggles a ball.,Seelöwen,—
243,Der Skorpion,der (maskulin),Skorpion,Scorpion,Animals,Der Skorpion ist giftig.,The scorpion is poisonous.,Skorpione,—
244,Der Specht,der (maskulin),Specht,The Woodpecker,Animals,Der Specht klopft an den Baumstamm.,The woodpecker knocks on the tree trunk.,Spechte,—
245,Der Stachel,der (maskulin),Stachel,The Sting,Animals,Die Biene hat einen Stachel.,The bee has a stinger.,Stacheln,—
246,Der Stich,der (maskulin),Stich,The Sting,Animals,Der Stich der Biene schwoll an.,The bee sting swelled up.,Stiche,—
247,Der Stierkampf,der (maskulin),Stierkampf,The Bullfight,Animals,Der Stierkampf ist umstritten.,Bullfighting is controversial.,Stierkämpfe,—
248,Der Strauß,der (maskulin),Strauß,The Ostrich,Animals,Der Strauß kann sehr schnell laufen.,The ostrich can run very fast.,Sträuße,—
249,Der Streifen,der (maskulin),Streifen,Stripes,Animals,Das Zebra hat schwarze und weiße Streifen.,The zebra has black and white stripes.,Streifen,—
250,Der Tiger,der (maskulin),Tiger,The Tiger,Animals,Der Tiger hat Streifen.,The tiger has stripes.,Tiger,—
251,Der Tintenfisch,der (maskulin),Tintenfisch,The Squid,Animals,Der Tintenfisch hat zehn Arme.,The squid has ten arms.,Tintenfische,—
252,Der Vogel,der (maskulin),Vogel,The Bird,Animals,Der Vogel singt im Baum.,The bird sings in the tree.,Vögel,—
253,Der Wachhund,der (maskulin),Wachhund,The Guard Dog,Animals,Der Wachhund bewacht das Haus.,The watchdog guards the house.,Wachhunde,—
254,Der Wal,der (maskulin),Wal,The Whale,Animals,Der Wal ist das größte Tier im Meer.,The whale is the largest animal in the sea.,Wale,—
255,Der Wolf,der (maskulin),Wolf,The Wolf,Animals,Der Wolf heult im Mondlicht.,The wolf howls in the moonlight.,Wölfe,—
256,Der Wurm,der (maskulin),Wurm,The Worm,Animals,Der frühe Vogel fängt den Wurm.,The early bird catches the worm.,Würmer,—
257,Die Krake,der (maskulin),Krake,The Octopus,Animals,Die Krake hat acht Arme.,The octopus has eight arms.,Kraken,—
258,Die Ameise,die (feminin),Ameise,The Ant,Animals,Die Ameise ist sehr fleißig.,The ant is very industrious.,Ameisen,Ameise
259,Die Biene,die (feminin),Biene,The Bee,Animals,Die Biene sammelt Nektar.,The bee collects nectar.,Bienen,Biene
260,Die Boa,die (feminin),Boa,The Boa,Animals,Die Boa erwürgt ihre Beute.,The boa constricts its prey.,Boas,Boa
261,Die Eidechse,die (feminin),Eidechse,The Lizard,Animals,Die Eidechse sonnt sich auf dem Stein.,The lizard suns itself on the stone.,Eidechsen,Eidechse
262,Die Ente,die (feminin),Ente,Duck,Animals,Die Ente schwimmt auf dem See.,The duck swims on the lake.,Enten,Ente
263,Die Eule,die (feminin),Eule,Owl,Animals,Die Eule ist ein Nachtvogel.,The owl is a night bird.,Eulen,Eule
264,Die Feder,die (feminin),Feder,The Spring,Animals,Der Vogel hat eine bunte Feder verloren.,The bird lost a colorful feather.,Federn,Feder
265,Die Fledermaus,die (feminin),Fledermaus,Bat,Animals,Die Fledermaus fliegt nachts.,The bat flies at night.,Fledermäuse,Fledermaus
266,Die Fliege,die (feminin),Fliege,The Fly,Animals,Die Fliege nervt mich.,The fly annoys me.,Fliegen,Fliege
267,Die Gans,die (feminin),Gans,Goose,Animals,Die Gans schnattert.,The goose honks.,Gänse,Gans
268,Die Gazelle,die (feminin),Gazelle,The Gazelle,Animals,Die Gazelle läuft sehr schnell.,The gazelle runs very fast.,Gazellen,Gazelle
269,Die Giraffe,die (feminin),Giraffe,The Giraffe,Animals,Die Giraffe hat einen langen Hals.,The giraffe has a long neck.,Giraffen,Giraffe
270,Die Grille,die (feminin),Grille,The Cricket,Animals,Die Grille zirpt am Abend.,The cricket chirps in the evening.,Grillen,Grille
271,Die Heuschrecke,die (feminin),Heuschrecke,The Grasshopper,Animals,Die Heuschrecke springt weit.,The grasshopper jumps far.,Heuschrecken,Heuschrecke
272,Die Katze,die (feminin),Katze,The Cat,Animals,Die Katze schläft auf dem Sofa.,The cat sleeps on the sofa.,Katzen,Katze
273,Die Kobra,die (feminin),Kobra,The Cobra,Animals,Die Kobra ist sehr giftig.,The cobra is very poisonous.,Kobras,Kobra
274,Die Krabbe,die (feminin),Krabbe,Shrimp,Animals,Die Krabbe läuft seitwärts.,The crab walks sideways.,Krabben,Krabbe
275,Die Krähe,die (feminin),Krähe,The Crow,Animals,Die Krähe krächzt auf dem Baum.,The crow caws on the tree.,Krähen,Krähe
276,Die Kröte,die (feminin),Kröte,The Toad,Animals,Die Kröte sitzt im Gras.,The toad sits in the grass.,Kröten,Kröte
277,Die Kuh,die (feminin),Kuh,The Cow,Animals,Die Kuh gibt Milch.,The cow gives milk.,Kühe,Kuh
278,Die Libelle,die (feminin),Libelle,The Dragonfly,Animals,Die Libelle schwirrt über das Wasser.,The dragonfly hovers over the water.,Libellen,Libelle
279,Die Made,die (feminin),Made,The Maggot,Animals,Die Made kriecht im Apfel.,The maggot crawls in the apple.,Maden,Made
280,Die Maus,die (feminin),Maus,The Mouse,Animals,Die Maus ist klein und schnell.,The mouse is small and fast.,Mäuse,Maus
281,Die Pythonschlange,die (feminin),Pythonschlange,The Python Snake,Animals,Die Pythonschlange ist riesig.,The python is huge.,Pythonschlangen,Pythonschlange
282,Die Qualle,die (feminin),Qualle,Jellyfish,Animals,Die Qualle schwimmt im Wasser.,The jellyfish swims in the water.,Quallen,Qualle
283,Die Ratte,die (feminin),Ratte,Rat,Animals,Die Ratte versteckt sich.,The rat hides.,Ratten,Ratte
284,Die Schabe,die (feminin),Schabe,The Cockroach,Animals,Eine Schabe huschte über den Boden.,A cockroach scurried across the floor.,Schaben,Schabe
285,Die Schildkröte,die (feminin),Schildkröte,The Turtle / Tortoise,Animals,Die Schildkröte bewegt sich langsam.,The turtle moves slowly.,Schildkröten,Schildkröte
286,Die Schlange,die (feminin),Schlange,Snake,Animals,Die Schlange kriecht.,The snake crawls.,Schlangen,Schlange
287,Die Spinne,die (feminin),Spinne,Spider,Animals,Die Spinne baut ein Netz.,The spider builds a web.,Spinnen,—
288,Die Taube,die (feminin),Taube,Pigeon,Animals,Die Taube fliegt weg.,The pigeon flies away.,Tauben,—
289,Die Wanze,die (feminin),Wanze,The Bug,Animals,Die Wanze saugt Blut.,The bedbug sucks blood.,Wanzen,—
290,Die Wasserschildkröte,die (feminin),Wasserschildkröte,The Water Turtle,Animals,Die Wasserschildkröte schwimmt im Aquarium.,The turtle swims in the aquarium.,Wasserschildkröten,—
291,Die Wespe,die (feminin),Wespe,The Wasp,Animals,Die Wespe hat ihn gestochen.,The wasp stung him.,Wespen,—
292,Die Ziege,die (feminin),Ziege,Goat,Animals,Die Ziege frisst Gras.,The goat eats grass.,Ziegen,—
293,Bellen,Verb,Bellen,Bay,Animals,Der Hund begann laut zu bellen.,The dog started to bark loudly.,—,—
294,Blöken,Verb,Blöken,Bleating,Animals,Die Schafe blöken auf der Weide.,The sheep bleat in the pasture.,—,—
295,Brüllen,Verb,Brüllen,Roar,Animals,Der Löwe brüllt in der Savanne.,The lion roars in the savanna.,—,—
296,Brummen,Verb,Brummen,Humming,Animals,Der Bär brummt zufrieden.,The bear growls contentedly.,—,—
297,Grunzen,Verb,Grunzen,Grunt,Animals,Das Schwein grunzt im Stall.,The pig grunts in the sty.,—,—
298,Knurren,Verb,Knurren,Growl,Animals,Der Hund knurrt den Fremden an.,The dog growls at the stranger.,—,—
299,Krähen,Verb,Krähen,Crow,Animals,Der Hahn kräht am Morgen.,The rooster crows in the morning.,—,—
300,Miauen,Verb,Miauen,Meow,Animals,Die Katze miaut vor der Tür.,The cat meows at the door.,—,—
301,Muhen,Verb,Muhen,Low,Animals,Die Kuh muht auf der Wiese.,The cow moos in the meadow.,—,—
302,Piepsen,Verb,Piepsen,Beep,Animals,Die kleinen Vögel piepsen im Nest.,The little birds peep in the nest.,—,—
303,Quaken,Verb,Quaken,Croak,Animals,Die Frösche quaken am See.,The frogs croak at the lake.,—,—
304,Schnurren,Verb,Schnurren,Purr,Animals,Die Katze schnurrt auf meinem Schoß.,The cat purrs on my lap.,—,—
305,Springen,Verb,Springen,Jump,Animals,Das Pferd kann hoch springen.,The horse can jump high.,—,—
306,Überzeugt,adjektiv,Überzeugt,Convinced,Arguments,Ich bin fest davon überzeugt.,I am firmly convinced of it.,—,—
307,Andererseits,Adverb,Andererseits,On The Other Hand,Arguments,Andererseits hat er auch gute Seiten.,"On the other hand, he also has good sides.",—,—
308,Deshalb,Adverb,Deshalb,For This Reason,Arguments,Deshalb bin ich heute hier.,That is why I am here today.,—,—
309,Deswegen,Adverb,Deswegen,Because Of This,Arguments,"Er war krank, deswegen konnte er nicht kommen.","He was sick, therefore he could not come.",—,—
310,Immerhin,Adverb,Immerhin,Anyway,Arguments,Er hat sich immerhin entschuldigt.,He apologized after all.,—,—
311,Infolgedessen,Adverb,Infolgedessen,As A Result,Arguments,Infolgedessen mussten wir den Plan ändern.,"As a result, we had to change the plan.",—,—
312,Jedoch,Adverb,Jedoch,However,Arguments,Das ist jedoch nicht das einzige Problem.,"However, that is not the only problem.",—,—
313,Letztendlich,Adverb,Letztendlich,Ultimately,Arguments,Letztendlich haben wir uns doch geeinigt.,"Ultimately, we did agree.",—,—
314,Schließlich,Adverb,Schließlich,Finally,Arguments,Schließlich ist er mein Bruder.,"After all, he is my brother.",—,—
315,Sozusagen,Adverb,Sozusagen,So To Speak,Arguments,Er ist sozusagen der Chef hier.,"He is, so to speak, the boss here.",—,—
316,Teilweise,Adverb,Teilweise,Partially,Arguments,Ich stimme dir nur teilweise zu.,I only partially agree with you.,—,—
317,Zweifellos,Adverb,Zweifellos,Undoubtedly,Arguments,Er ist zweifellos der beste Spieler.,He is undoubtedly the best player.,—,—
318,Das Argument,das (neutrum),Argument,The Argument,Arguments,Das ist ein sehr starkes Argument.,That is a very strong argument.,Argumente,—
319,Das Gespräch,das (neutrum),Gespräch,The Conversation,Arguments,Wir hatten ein langes Gespräch.,We had a long conversation.,Gespräche,—
320,Das Mißverständnis,das (neutrum),Mißverständnis,The Misunderstanding,Arguments,Das war ein großes Missverständnis.,That was a big misunderstanding.,Mißverständnisse,—
321,Der Dialog,der (maskulin),Dialog,The Dialogue,Arguments,Der Dialog zwischen den beiden war interessant.,The dialogue between the two was interesting.,Dialoge,—
322,Der Einwand,der (maskulin),Einwand,The Objection,Arguments,Er erhob Einwand gegen den Vorschlag.,He raised an objection to the proposal.,Einwände,—
323,Der Standpunkt,der (maskulin),Standpunkt,The Standpoint,Arguments,Er vertritt einen klaren Standpunkt.,He takes a clear position.,Standpunkte,—
324,Der Streit,der (maskulin),Streit,The Dispute,Arguments,Der Streit eskalierte schnell.,The argument escalated quickly.,—,—
325,Die Ansicht,die (feminin),Ansicht,The View,Arguments,Meiner Ansicht nach ist das falsch.,"In my view, that is wrong.",Ansichten,Ansicht
326,Die Debatte,die (feminin),Debatte,The Debate,Arguments,Die Debatte war sehr hitzig.,The debate was very heated.,Debatten,Debatte
327,Die Diskussion,die (feminin),Diskussion,The Discussion,Arguments,Die Diskussion dauerte mehrere Stunden.,The discussion lasted several hours.,Diskussionen,Diskussion
328,Die Erklärung,die (feminin),Erklärung,The Explanation,Arguments,Die Erklärung war nicht überzeugend.,The explanation was not convincing.,Erklärungen,Erklärung
329,Die Idee,die (feminin),Idee,The Idea,Arguments,Das ist eine großartige Idee!,That is a great idea!,Ideen,Idee
330,Die Kritik,die (feminin),Kritik,The Criticism,Arguments,Die Kritik war berechtigt.,The criticism was justified.,—,Kritik
331,Die Meinung,die (feminin),Meinung,The Opinion,Arguments,Was ist deine Meinung dazu?,What is your opinion on that?,Meinungen,Meinung
332,Die Unterhaltung,die (feminin),Unterhaltung,The Entertainment,Arguments,Die Unterhaltung war sehr angenehm.,The conversation was very pleasant.,Unterhaltungen,—
333,Als Beispiel,Phrase,Als Beispiel,As An Example,Arguments,Lass mich dir das als Beispiel zeigen.,Let me show you this as an example.,—,—
